,py/object,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
0,binance_f.model.candlestick.Candlestick,1614854820000,49280.47,49330.00,49252.44,49281.34,131.205,1614854879999,6467360.35076,1706,80.967,3991381.10374,0
1,binance_f.model.candlestick.Candlestick,1614854880000,49281.34,49286.05,49204.80,49213.59,157.872,1614854939999,7774830.06100,1452,33.818,1665476.33047,0
2,binance_f.model.candlestick.Candlestick,1614854940000,49215.49,49215.49,49148.00,49179.94,218.967,1614854999999,10770088.48390,2249,104.182,5124299.18537,0
3,binance_f.model.candlestick.Candlestick,1614855000000,49179.93,49216.77,49083.23,49094.03,194.533,1614855059999,9562359.41850,2351,68.539,3370087.59375,0
4,binance_f.model.candlestick.Candlestick,1614855060000,49093.43,49180.00,49077.52,49172.31,186.668,1614855119999,9170126.86552,2411,80.607,3960517.11388,0
5,binance_f.model.candlestick.Candlestick,1614855120000,49172.31,49233.25,49172.05,49202.88,108.285,1614855179999,5328600.04575,1532,65.501,3223073.63725,0
6,binance_f.model.candlestick.Candlestick,1614855180000,49202.87,49220.80,49151.01,49213.47,75.973,1614855239999,3737234.17848,1118,41.300,2031689.45824,0
7,binance_f.model.candlestick.Candlestick,1614855240000,49213.46,49225.09,49184.52,49191.52,83.368,1614855299999,4102150.76822,1140,41.299,2032131.58285,0
8,binance_f.model.candlestick.Candlestick,1614855300000,49192.75,49302.00,49192.75,49250.00,118.072,1614855359999,5816549.26562,1658,65.540,3228668.86624,0
9,binance_f.model.candlestick.Candlestick,1614855360000,49250.01,49270.80,49227.24,49265.83,12.372,1614855419999,609270.93108,289,7.348,361873.83499,0
